First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Tucker,Durkin,51,D,3,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Peyton,Smith,5,FO,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,66,25,41,0.3787878787878790,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brett,Schmidt,44,D,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ben,Reeves,2,A,5,3,0,0,0,0,3,9,0,6,0.6666666666666670,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Joey,Sankey,11,M,6,6,3,3,0,3,3,9,0.3333333333333330,5,0.5555555555555560,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack,Near,2,M,6,3,1,1,0,1,2,6,0.16666666666666700,4,0.6666666666666670,1,0,1,11,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Gunnar,Waldt,14,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Romar,Dennis,5,M,5,6,4,3,1,5,1,18,0.2222222222222220,8,0.4444444444444440,4,0.25,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Ned,Crotty,22,M,4,10,3,3,0,3,7,11,0.2727272727272730,4,0.36363636363636400,2,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Manley,41,D,5,1,1,1,0,1,0,5,0.2,1,0.2,3,0,0,13,4,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
