First Name,Last Name,Position,Jersey,Team,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Kyle,Pless,LSM,2,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Rees,LSM,44,Cannons,8,5,2,0,2,4,1,9,0.2222222222222222,5,0.5555555555555556,8,0.25,4,12,2,10,38,1,37,0.02631578947368421,0,0,0,0,0,0,0,6,5,0,1,0,0,,0
Myles,Jones,M,8,Atlas,8,10,6,6,0,6,4,32,0.1875,19,0.59375,6,0,3,6,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,,0
Isaiah,Davis-Allen,SSDM,26,Redwoods,10,0,0,0,0,0,0,1,0,1,1,1,0,1,13,4,2,10,2,8,0.2,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Michael,Sowers,A,22,Waterdogs,10,30,15,15,0,15,15,77,0.19480519480519481,49,0.6363636363636364,2,0,0,11,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,11,0,0,,0
Eli,Gobrecht,D,25,Waterdogs,10,2,2,2,0,2,0,2,1,2,1,0,0,0,19,3,9,158,20,137,0.12658227848101267,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Ryan,Smith,M,43,Chaos,10,18,14,14,0,14,4,34,0.4117647058823529,22,0.6470588235294118,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,,0
Ian,MacKay,SSDM,55,Chaos,9,12,8,7,1,9,3,26,0.3076923076923077,15,0.5769230769230769,6,0.16666666666666666,4,6,5,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,,0
Jack,Rowlett,D,99,Chaos,9,0,0,0,0,0,0,3,0,1,0.3333333333333333,3,0,1,12,1,12,5,2,3,0.4,0,0,0,0,0,0,0,6,5.5,0,0,0,0,,0
Peyton,Smith,FO,3,Atlas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Romar,Dennis,M,5,Redwoods,10,12,7,4,3,10,2,57,0.12280701754385964,32,0.5614035087719298,33,0.09090909090909091,22,9,9,1,0,0,0,0,0,0,0,0,0,0,0,2,2.5,2,6,0,0,,0
Reece,Eddy,LSM,9,Archers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Craig,Chick,LSM,13,Cannons,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyle,Jackson,M,47,Chaos,9,13,10,10,0,10,3,39,0.2564102564102564,25,0.6410256410256411,5,0,3,7,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,,0
Kyle,Hartzell,LSM,81,Cannons,5,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0,3,18,2,16,0.1111111111111111,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Dylan,Gergar,A,,Chrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Drenner,M,22,Cannons,10,24,16,15,1,17,7,43,0.37209302325581395,27,0.627906976744186,2,0.5,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,,0
Mac,O'Keefe,A,7,Archers,10,35,26,22,4,30,5,89,0.29213483146067415,52,0.5842696629213483,12,0.3333333333333333,6,23,9,3,0,0,0,0,0,0,0,0,0,0,0,3,2,6,15,0,0,,0
Mark,McNeill,SSDM,21,Cannons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Patrick,Resch,SSDM,34,Chaos,10,7,2,1,1,3,4,3,0.6666666666666666,2,0.6666666666666666,1,1,1,10,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Jackson,Morrill,A,3,Whipsnakes,10,26,11,11,0,11,15,31,0.3548387096774194,27,0.8709677419354839,0,0,0,11,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
Blaze,Riorden,G,0,Chaos,9,4,0,0,0,0,4,0,0,0,0,0,0,0,24,3,2,0,0,0,0,135,0.594713656387665,103,11.361164304864037,11,1.21332822673305,26110,0,0,0,0,0,0,,11
Chris,Cloutier,A,2,Chaos,5,11,10,10,0,10,1,34,0.29411764705882354,19,0.5588235294117647,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
Max,Adler,FO,6,Chaos,1,0,0,0,0,0,0,1,0,1,1,0,0,0,7,2,0,24,11,13,0.4583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Troy,Reh,LSM,10,Chaos,10,3,2,1,1,3,0,10,0.2,5,0.5,8,0.125,3,17,4,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,,0
Dylan,Molloy,M,17,Atlas,4,4,3,3,0,3,1,12,0.25,8,0.6666666666666666,1,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bryce,Young,D,41,Whipsnakes,10,1,1,1,0,1,0,4,0.25,1,0.25,3,0,0,15,5,10,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Chris,Aslanian,M,3,Cannons,10,22,13,9,4,17,5,52,0.25,31,0.5961538461538461,19,0.21052631578947367,9,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1,,0
Jake,Bernhardt,SSDM,83,Whipsnakes,8,1,0,0,0,0,1,4,0,0,0,1,0,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
CJ,Costabile,LSM,9,Chaos,9,5,3,1,2,5,0,10,0.3,5,0.5,6,0.3333333333333333,4,13,5,3,4,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
JT,Giles-Harris,D,1,Chrome,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
